HJD,dmag,err
5759.80307,4.4575,0.0174
5759.80674,4.4641,0.0174
5759.81041,4.4373,0.0161
5759.81408,4.4521,0.0161
5759.81774,4.4467,0.0161
5759.82141,4.4588,0.0174
5759.82507,4.436,0.0188
5759.82874,4.4548,0.0187
5759.83547,4.4908,0.0159
5759.83914,4.5027,0.0159
5759.84281,4.4855,0.0173
5759.84647,4.4828,0.016
5759.85014,4.4828,0.0173
5759.85381,4.4828,0.016
5759.8575,4.4735,0.0173
5759.86117,4.5014,0.0172
5759.86484,4.4841,0.0173
5759.86851,4.5001,0.0172
5759.87677,4.5371,0.0171
5759.88044,4.5449,0.0157
5759.88411,4.5449,0.0157
5759.88912,4.5278,0.0171
5759.89281,4.5528,0.017
5759.89648,4.5173,0.0185
5759.90016,4.5226,0.0185
5759.90384,4.5476,0.017
5759.90752,4.5423,0.0158
5759.91119,4.5292,0.0184
5759.91486,4.5502,0.017
5759.91853,4.5449,0.0171
5759.92222,4.5318,0.0184
5759.92591,4.562,0.0183
5759.92958,4.5672,0.0157
5759.93325,4.5672,0.0157
5759.93694,4.5305,0.0184
5759.94061,4.5854,0.0169
5759.94841,4.5672,0.0183
5759.95209,4.541,0.0184
5759.95581,4.5958,0.0182
5761.00185,4.9349,0.0134
5761.00553,4.9409,0.0122
5761.00918,4.947,0.0158
5761.01285,4.9592,0.0158
5761.01653,4.9664,0.0133
5761.02019,4.9604,0.0121
5761.02389,4.9543,0.0134
5761.03076,4.9227,0.0159
5761.03444,4.8921,0.0172
5761.03811,4.9422,0.017
5761.04178,4.8921,0.0172
5762.04008,5.4612,0.0136
5762.04376,5.4681,0.0091
5762.04741,5.4941,0.009
5762.05108,5.5054,0.009
5762.05475,5.4794,0.0079
5762.10309,5.5313,0.009
5762.11216,5.5325,0.009
5762.11585,5.5471,0.009
5762.1195,5.5628,0.0079
5762.1232,5.5381,0.0079
5762.12689,5.5482,0.009
5762.13066,5.5561,0.0079
5762.13433,5.5684,0.009
