HJD,dmag,err
5762.79246,6.1114,0.0155
5762.79608,6.0864,0.0167
5762.7997,6.1114,0.0143
5762.80333,6.1162,0.0809
5762.80695,6.1305,0.076
5762.81057,6.1388,0.0142
5762.81421,6.1257,0.0725
5762.81783,6.121,0.0761
5762.82146,6.1257,0.0796
5762.82508,6.1281,0.0844
5762.82871,6.1281,0.0808
5762.83231,6.1506,0.0166
5762.83594,6.1376,0.0202
5762.84131,6.1424,0.0107
5762.84493,6.1376,0.0107
5762.84856,6.1447,0.0107
5762.85218,6.1447,0.0119
5762.85579,6.1471,0.0142
5762.85941,6.1554,0.0106
5762.86305,6.1648,0.0118
5762.86667,6.1317,0.0154
5762.87028,6.1424,0.0119
5762.87389,6.1708,0.0142
5762.87751,6.1802,0.0094
5762.88114,6.1447,0.0142
5762.88475,6.1554,0.0142
5762.88837,6.1364,0.0166
5762.89197,6.1825,0.0106
5762.89559,6.1708,0.0118
5762.89921,6.1755,0.0106
5762.90284,6.1743,0.0142
5762.90645,6.1802,0.0142
5762.91008,6.1943,0.0094
5762.9137,6.2061,0.0094
5762.91733,6.1943,0.0118
5762.92095,6.1943,0.0118
5762.92456,6.192,0.0106
5767.86107,4.2132,0.0419
5767.8647,4.1751,0.0427
5767.86834,4.1964,0.0402
5767.87197,4.2547,0.0391
5767.87559,4.1794,0.0426
5767.87921,4.2299,0.0374
5767.8828,4.1943,0.0423
5767.88644,3.9729,0.0616
5767.89006,4.1921,0.0424
5767.89368,4.1794,0.0405
5767.8973,4.2132,0.0398
5767.90091,4.2174,0.0356
5767.90453,4.2237,0.0376
5767.90815,4.2362,0.0373
5767.91178,4.2382,0.0373
5767.91542,4.2486,0.0351
5767.91905,4.2195,0.0376
5767.92267,4.2299,0.0374
5767.92629,4.2132,0.0357
5767.92993,4.2069,0.0379
5767.93354,4.1943,0.0444
5767.93716,4.1537,0.0518
5767.94078,4.1644,0.0558
