Date,AD,AE,AF,AG,AI,AL,AM,AO,AR,AS,AT,AU,AW,AZ,BA,BAT,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CW,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FR,GA,GB,GD,GE,GF,GG,GH,GI,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NG,NI,NL,NO,NP,NR,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,US,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,XK,YE,YT,ZA,ZM,ZW
2019-03-20T23:04:40.058Z,,30,1,2,,2,1,,4,,105,415,,,1,,2,,267,,26,3,,,2,12,,,,15,2,,1,,,328,,,,200,,4,,8,2,,1,,,32,50,948,,172,1,1,,1,4,4,,,1317,,55,3,,,2363,,238578,,2,3,44,2,592,1,,,,108,,,,,36,,5,,27,3,356,7,46,5,,,,6,291,57,5,2,38,4,,2,,,1,,4,1,5,1,,,5,,3,,,2,95,3,,6,2,,1,1,,,,,1,,,,,1,43,1,,,14,8,,1,2,,2,1,384,96,,,206,,,4,,1,5,,53,,,,104,,,8,3,14,2,2,1,5,,1,2,221,25,,1,10,,,2,,,,,,1,,1,,,,17,1,1,,,1,8,2,1,3,,1,,757,5,2,,1,,3,4,2,1,,1,,,27,1,2
2019-03-20T23:10:00.164Z,,30,1,2,,2,1,,4,,105,436,,,1,,2,,268,,26,3,,,2,13,,,,15,2,,1,,,338,,,,206,,4,,9,2,,1,,,34,51,960,,173,1,1,,1,4,4,,,1329,,55,3,,,2386,,244689,,2,3,46,2,598,1,,,,109,,,1,,37,,5,,27,4,371,7,49,5,,,,6,294,59,5,2,43,4,,2,,,1,,4,1,5,1,,,5,,3,,,2,96,3,,6,3,,1,1,,,,,1,,,,,1,43,1,,,14,8,,1,2,,2,1,385,96,,,211,,,4,,1,5,,53,,,,105,,,8,4,14,2,2,1,5,,1,2,223,26,,1,11,,,2,,,,,,1,,1,,,,17,1,1,,,1,8,2,1,3,,1,,779,5,2,,1,,3,4,2,1,,1,,,27,1,2
2019-03-20T23:15:00.117Z,,31,1,2,,2,1,,4,,105,450,,,1,,2,,270,,26,3,,,2,13,,,,16,2,,1,,,344,,,,207,,4,,9,3,,1,,,34,52,966,,174,1,1,,1,4,4,,,1344,,55,3,,,2406,,250157,,2,3,48,2,602,1,,,,110,,,1,,39,,5,,27,4,384,7,49,5,,,,7,296,59,5,2,47,4,,2,,,1,,4,1,5,1,,1,5,,3,,,2,97,3,,6,3,,1,1,,,,,1,,,,,1,43,1,,,14,8,,1,2,,2,1,391,96,,,220,,,4,,1,5,,56,,,,111,,,8,4,14,2,2,1,5,,1,2,224,28,,1,11,,,2,,,,,,1,,1,,,,17,1,1,,,1,8,2,1,3,,1,,808,5,2,,1,,3,4,2,1,,1,,,27,1,2
2019-03-20T23:20:00.137Z,,31,1,2,,2,1,,4,,106,465,,,1,,2,,273,,26,3,,,2,15,,,,16,2,,1,,,351,,,,209,,4,,10,3,,1,,,35,53,972,,176,1,1,,1,4,4,,,1358,,57,3,,,2424,,255305,,2,3,48,2,604,1,,,,110,,,1,,40,,5,,27,4,396,7,51,5,,,,7,300,61,5,2,49,4,,2,,,1,,4,1,5,1,,1,5,,3,,,2,99,3,,6,3,,1,1,,,,,1,,,,,1,44,1,,,15,8,,1,2,,2,1,404,100,,,228,,,4,,1,5,,57,,,,113,,,8,4,14,2,2,1,5,,1,2,226,30,,1,11,,,2,,,,,,1,,1,,,,18,1,1,,,1,8,2,1,3,,1,,840,5,2,,1,,3,4,2,1,,1,,,27,1,2
2019-03-20T23:25:00.051Z,,31,1,2,,2,1,,4,,109,478,,,1,,2,,274,,26,3,,,2,16,,,,16,2,,1,,,358,,,,212,,4,,10,3,,1,,,35,55,980,,176,1,1,,1,4,4,,,1380,,57,3,,,2446,,260440,,2,3,49,2,606,1,,,,110,,,1,,44,,5,,27,4,405,7,51,5,,,,7,302,61,5,2,51,4,,2,,,1,,5,1,6,1,,1,5,,3,,,2,100,3,,6,3,,1,1,,,,,1,,,,,1,45,1,,,15,8,,1,2,,2,1,407,101,,,232,,,4,,1,5,,59,,,,116,,,8,4,14,2,2,1,5,,1,2,228,33,,1,11,,,2,,,,,,1,,1,,,,18,1,1,,,1,8,2,1,3,,1,,874,5,2,,1,,3,4,2,1,,1,,,27,1,2
2019-03-20T23:27:50.071Z,,31,1,2,,2,1,,4,,110,489,,,1,,2,,276,,26,3,,,2,17,,,,16,2,,1,,,368,,,,213,,4,,10,3,,1,,,35,55,986,,176,1,1,,1,4,4,,,1387,1,57,3,,,2452,,263481,,2,3,49,2,608,1,,,,110,,,1,,47,,5,,27,4,409,7,52,5,,,,7,302,62,5,2,52,4,,2,,,1,,5,1,6,1,,1,5,,3,,,3,100,3,,6,3,,1,1,,,,,1,,,,,1,45,1,,,15,9,,1,2,,2,1,409,102,,,236,,,4,,1,5,,60,,,,116,,,8,4,14,2,2,1,5,1,1,2,229,33,,1,11,,,2,,,,,,1,,1,,,,18,1,1,,,1,8,2,1,3,,1,,889,5,2,,1,,3,4,2,1,,1,,,27,1,2
2019-03-20T23:30:00.114Z,,31,1,2,,2,1,,4,,110,498,,,1,,2,,278,,26,3,,,2,17,,,,16,2,,1,,,377,,,,216,,4,,10,3,,1,,,35,55,991,,176,1,1,,1,4,4,,,1394,1,57,3,,,2466,,265706,,2,3,51,2,608,1,,,,110,,,1,,48,,5,,27,4,413,7,53,5,,,,7,303,62,5,2,53,4,,2,,,1,,5,1,6,1,,1,5,,3,,,3,101,3,,6,3,,1,1,,,,,1,,,,,1,45,1,,,16,9,,1,2,,2,1,410,102,,,241,,,4,,1,5,,61,,,,118,,,8,4,14,2,2,1,5,1,1,2,230,33,,1,11,,,2,,,,,,1,,1,,,,19,1,1,,,1,8,2,1,3,,1,,895,5,2,,1,,3,4,2,1,,1,,,27,1,2
2019-03-20T23:35:00.460Z,,31,1,2,,2,1,,4,,113,509,,,1,,2,,281,,26,3,,,2,17,,,,16,2,,1,,,386,,,,219,,4,,10,3,,1,,,35,55,1005,,178,1,1,,1,4,4,,,1408,1,57,3,,,2482,,270719,,2,3,51,2,610,1,,,,110,,,1,,52,,5,,27,4,423,7,56,5,,,,7,309,62,5,2,56,4,,2,,,1,,5,1,6,1,,1,5,,3,,,3,101,3,,6,3,,1,1,,,,,1,,,,,1,45,1,,,16,9,,1,3,,2,1,414,104,,,251,,,4,,1,5,,63,,,,120,,,8,4,14,2,2,1,5,1,1,2,231,34,,1,11,,,2,,,,,,1,,1,1,,,21,1,1,,,1,8,2,2,3,,1,,921,5,2,,1,,3,4,2,1,,1,,,28,1,2
2019-03-20T23:37:40.175Z,,31,1,2,,2,1,,4,,113,516,,,1,,2,,284,,26,3,,,2,17,,,,16,2,,1,,,390,,,,221,,5,,11,3,,1,,,35,56,1008,,178,1,1,,1,4,4,,,1411,1,57,3,,,2488,,273319,,2,3,51,2,613,1,,,,110,,,1,,52,,5,,27,4,427,7,57,5,,,,7,311,63,5,2,56,4,,2,,,1,,5,1,6,1,,1,5,,3,,,3,101,3,,6,3,,1,1,,,,,1,,,,,1,45,1,,,16,9,,1,3,,2,1,415,104,,,255,,,5,,1,5,,63,,,,121,,,8,4,14,2,3,1,5,1,1,2,231,35,,1,11,,,2,,,,,,1,,1,1,,,22,1,1,,,1,8,2,2,3,,1,,932,5,2,,1,,3,4,2,1,,1,,,28,1,2
2019-03-20T23:38:45.109Z,,31,1,2,,2,1,,4,,113,518,,,1,,2,,284,,26,3,,,2,17,,,,16,2,,1,,,392,,,,221,,5,,11,3,,1,,,35,56,1010,,178,1,1,,1,4,4,,,1413,1,57,3,,,2493,,274312,,2,3,51,2,613,1,,,,111,,,1,,53,,5,,27,4,431,7,57,5,,,,7,311,63,5,2,57,4,,2,,,1,,5,1,6,1,,1,5,,3,,,3,102,3,,6,3,,1,1,,,,,1,,,,,1,45,1,,,16,9,,1,3,,2,1,416,104,,,256,,,5,,1,5,,63,,,,123,,,8,5,14,2,3,1,5,1,1,2,231,38,,1,11,,,2,,,,,,1,,1,1,,,23,1,1,,,1,8,2,2,3,,1,,936,5,2,,1,,3,4,2,1,,1,,,28,1,2
