HJD,dmag,err
5759.87282,4.6895,0.0133
5759.87282,4.6895,0.0133
5759.88048,4.6371,0.0176
5759.88048,4.6371,0.0176
5759.88414,4.5703,0.0179
5759.88414,4.5703,0.0179
5759.88779,4.614,0.0163
5759.88779,4.614,0.0163
5759.89143,4.595,0.0178
5759.89143,4.595,0.0178
5759.89507,4.6573,0.0161
5759.89507,4.6573,0.0161
5759.89872,4.6208,0.0163
5759.89872,4.6208,0.0163
5759.90237,4.614,0.0163
5759.90237,4.614,0.0163
5759.90602,4.5813,0.0164
5759.90602,4.5813,0.0164
5759.90966,4.6357,0.0162
5759.90966,4.6357,0.0162
5759.91331,4.6127,0.0163
5759.91331,4.6127,0.0163
5759.91696,4.6263,0.0163
5759.91696,4.6263,0.0163
5759.92061,4.558,0.0179
5759.92061,4.558,0.0179
5759.92426,4.6721,0.0161
5759.92426,4.6721,0.0161
5759.99347,4.5094,0.0181
5759.99347,4.5094,0.0181
5759.99711,4.48,0.0197
5759.99711,4.48,0.0197
5760.00076,4.4828,0.0169
5760.00076,4.4828,0.0169
5760.0044,4.4842,0.0225
5760.0044,4.4842,0.0225
5760.00804,4.4532,0.0382
5760.00804,4.4532,0.0382
5760.01169,4.5122,0.0195
5760.01169,4.5122,0.0195
5760.01534,4.4955,0.0196
5760.01534,4.4955,0.0196
5760.01899,4.5038,0.0196
5760.01899,4.5038,0.0196
5760.02401,4.515,0.0195
5760.02401,4.515,0.0195
5760.02767,4.5247,0.0195
5760.02767,4.5247,0.0195
5760.03131,4.5164,0.0195
5760.03131,4.5164,0.0195
5760.03496,4.5206,0.0181
5760.03496,4.5206,0.0181
5760.0386,4.5066,0.0195
5760.0386,4.5066,0.0195
5760.04225,4.5511,0.0221
5760.04225,4.5511,0.0221
5760.04589,4.4884,0.0225
5760.04589,4.4884,0.0225
5760.04954,4.5038,0.0196
5760.04954,4.5038,0.0196
5760.05322,4.5136,0.0195
5760.05322,4.5136,0.0195
5760.05687,4.522,0.0222
5760.06052,4.508,0.0195
5760.06417,4.5122,0.0195
5760.06781,4.4814,0.0239
5760.07146,4.5066,0.0195
5760.07511,4.5566,0.0193
5760.07874,4.5066,0.0223
5760.0824,4.558,0.0262
5760.08604,4.5052,0.0237
5760.08969,4.5108,0.0237
5760.09335,4.5275,0.0236
5760.09699,4.5192,0.0237
5760.10063,4.6222,0.019
5760.10427,4.5469,0.0221
5760.10792,4.5289,0.0194
5760.11156,4.5303,0.0222
5760.11521,4.5895,0.0232
5760.99693,4.8764,0.0154
5761.00057,4.9058,0.0127
5761.00422,4.879,0.0128
5761.00787,4.8726,0.0154
5761.01151,4.8956,0.0153
5761.01516,4.916,0.0127
5761.0188,4.8739,0.0167
5761.02245,4.9007,0.0153
5761.02609,4.8828,0.0154
5761.02975,4.8969,0.0153
5761.0334,4.9262,0.0114
5761.03704,4.9224,0.0152
5761.04068,4.9287,0.0127
5761.04433,4.9147,0.0153
5761.04797,4.8905,0.0153
5761.05161,4.9135,0.0127
5761.05526,4.9388,0.0152
5761.0589,4.9084,0.0127
5761.06256,4.9096,0.0127
5761.06621,4.902,0.0153
5761.06985,4.949,0.0126
5761.0735,4.9477,0.0114
5761.07714,4.9224,0.0127
5761.08078,4.9414,0.0152
5761.08442,4.93,0.0152
5761.08807,4.9376,0.0152
5761.09172,4.93,0.0127
5761.09536,4.9704,0.0126
5761.09901,4.983,0.0126
5761.10265,5.0167,0.0125
5761.1063,4.9817,0.0151
5761.10994,5.1157,0.011
5761.1136,5.1047,0.0111
5761.11726,5.1145,0.011
5761.12089,5.1316,0.011
5761.12455,5.1194,0.0123
5761.1282,5.0775,0.0111
5761.13184,5.0615,0.0111
5761.84662,5.3314,0.0107
5761.85028,5.3231,0.0107
5761.85393,5.4139,0.0094
5761.85788,5.3574,0.0106
5761.86153,5.4512,0.0093
5761.86518,5.3951,0.0106
5761.86882,5.3904,0.0094
5761.87247,5.4781,0.0093
5773.80677,3.2465,0.0453
5773.81042,3.3067,0.0571
5773.81408,3.4509,0.041
5773.81772,3.2847,0.0533
5773.82137,3.4529,0.043
5773.825,3.4447,0.0472
5773.82865,3.3927,0.0421
5773.83232,3.641,0.0338
5773.83596,3.4874,0.0382
5773.8396,3.4975,0.0341
5773.84325,3.6031,0.0325
5773.84691,3.6616,0.0335
5777.83817,2.888,0.0772
5777.84184,2.9819,0.0732
5777.84548,3.0258,0.0637
5777.84912,3.0486,0.0629
5777.85276,3.0637,0.0574
5777.85641,3.013,0.0616
5777.86005,3.036,0.0659
5777.8637,3.0958,0.0613
5777.86734,3.149,0.0596
5777.87099,3.149,0.0501
5777.87463,3.0587,0.0676
5777.87829,3.0637,0.0624
5777.88194,2.9897,0.0676
5777.88557,3.013,0.0642
5778.86339,2.6732,0.0849
5778.86703,2.7797,0.0795
5778.87068,2.747,0.0841
5778.87432,2.6951,0.0868
5778.87797,2.8204,0.0776
5778.88161,2.7767,0.0826
5778.88527,2.7826,0.0793
5778.88891,2.829,0.08
5778.89255,2.741,0.0814
