HJD,dmag,err
5744.8045,2.7428,0.0238
5744.81138,2.5465,0.0252
5745.57395,2.9464,0.021
5745.68157,2.7651,0.0217
5745.78044,2.9815,0.0213
5749.57974,3.1446,0.018
5749.661,3.1986,0.0186
5749.75857,3.2272,0.0184
5752.59257,4.07,0.0159
5752.64594,3.5631,0.0207
5752.6469,3.3012,0.0192
5753.60415,3.4755,0.0158
5753.6117,3.5654,0.015
5753.62778,3.4891,0.0149
5753.63502,3.445,0.0157
5753.64875,3.4405,0.0143
5753.66087,3.668,0.0173
5753.68484,3.7423,0.0184
5753.69921,3.807,0.0154
5753.70332,3.9886,0.014
5753.71815,3.6552,0.0146
5753.72539,3.6538,0.0138
5753.74073,3.533,0.0145
5753.74687,3.4046,0.0147
5753.75661,3.4438,0.0144
5753.76743,3.3931,0.0158
5753.77371,3.3648,0.0163
5753.78686,3.4788,0.0161
5753.79098,3.3611,0.023
5753.8001,3.5046,0.0164
5754.56379,3.5969,0.014
5754.57552,3.7053,0.0136
5754.59575,4.0035,0.0135
5754.6632,3.6671,0.0146
5756.74787,3.8115,0.0113
5756.76187,3.8488,0.012
5756.76709,3.8969,0.0114
5760.56102,4.7521,0.0064
5760.60624,4.7426,0.006
5760.64515,4.7429,0.006
5760.6461,4.7629,0.0059
5760.66669,4.7495,0.0058
5760.7245,4.7945,0.0059
5760.73604,4.7815,0.0058
5760.75584,4.8012,0.0061
5760.76676,4.7969,0.0059
5760.77687,4.7964,0.0059
5760.7929,4.8216,0.0061
5762.57106,5.8821,0.0042
5762.57228,5.8876,0.0042
5762.60304,5.9312,0.0041
5762.60595,5.9439,0.0041
5762.61612,5.9419,0.0041
5762.61853,5.945,0.0042
5762.63289,5.9576,0.004
5762.6384,5.9657,0.004
5762.65272,5.9755,0.004
5762.65487,5.9775,0.004
5762.66517,5.9849,0.0041
5762.66892,5.9872,0.004
5762.67589,5.9963,0.0037
5762.67633,5.9963,0.0036
5762.6768,5.9997,0.0036
5762.67726,5.9953,0.0036
5762.67773,5.9968,0.0036
5762.67819,5.9916,0.0036
5762.67865,6.0013,0.0036
5762.67912,6.0018,0.0036
5762.67958,5.9951,0.0036
5762.68004,5.9514,0.0037
5762.6805,5.9925,0.0036
5762.68097,5.9927,0.0036
5762.68143,5.9994,0.0036
5762.68189,6.002,0.0036
5762.68236,5.9857,0.0036
5762.68282,5.9894,0.0036
5762.68328,5.9916,0.0036
5762.68374,6.0045,0.0036
5762.68422,5.994,0.0036
5762.68468,5.9976,0.0036
5762.68514,5.9988,0.0036
5762.68561,5.9933,0.0036
5762.68607,6.0023,0.0036
5762.68653,6.0007,0.0036
5762.687,5.9914,0.0036
5762.68746,5.9992,0.0036
5762.68792,5.9946,0.0036
