HJD,dmag,err
5741.85633,2.1969,0.1821
5741.85993,2.3327,0.165
5741.86356,2.5322,0.1359
5741.86717,2.5591,0.122
5741.87277,2.6334,0.116
5741.87637,2.5705,0.121
5741.88359,2.7384,0.1083
5741.8872,2.5399,0.1312
5741.89129,2.4848,0.1403
5741.89489,2.5166,0.1333
5741.8985,2.5437,0.1309
5759.94349,4.5292,0.0248
5759.9471,4.5175,0.0234
5759.9507,4.5146,0.0249
5759.95431,4.5058,0.025
5759.96195,4.5683,0.0202
5759.96556,4.5769,0.0201
5759.96917,4.6141,0.0199
5759.97278,4.5856,0.0229
5759.97638,4.587,0.0201
5759.97999,4.5712,0.023
5759.9836,4.564,0.0202
5760.76714,4.7962,0.019
5760.77075,4.8151,0.0176
5760.77436,4.8029,0.019
5760.77797,4.8407,0.0175
5760.78158,4.8246,0.0162
5760.78519,4.8421,0.0161
5760.78881,4.8056,0.0176
5760.79242,4.7962,0.019
5760.79603,4.8448,0.0174
5760.79965,4.838,0.0175
5760.80326,4.8327,0.0188
5760.80688,4.838,0.0175
5761.8492,5.3561,0.0097
5761.85282,5.3803,0.0097
5761.85643,5.367,0.0097
