HJD,dmag,err
5763.77668,6.1505,0.0021
5763.77737,6.1463,0.0021
5763.7781,6.1735,0.0021
5763.77884,6.1505,0.0031
5763.77953,6.1516,0.0021
5763.7956,6.1954,0.0021
5763.79634,6.1244,0.0021
5763.79708,6.1254,0.0031
5763.7978,6.1578,0.0021
5763.79855,6.1213,0.0021
5763.79928,6.1526,0.0031
5763.79998,6.1359,0.0021
5763.80071,6.1181,0.0021
5763.80146,6.1537,0.0021
5763.80219,6.1474,0.0021
5763.81261,6.1401,0.0021
5763.81335,6.1035,0.0021
5763.81408,6.1244,0.0021
5763.81482,6.1003,0.0021
5763.81557,6.1861,0.0021
5763.81632,6.1244,0.0021
5763.81705,6.1694,0.0031
5763.81779,6.1076,0.0031
5763.81927,6.0951,0.0031
5763.82001,6.1411,0.0021
5763.82075,6.139,0.0021
5763.82149,6.161,0.0021
5763.82224,6.1118,0.0021
5763.82297,6.0867,0.0031
5763.82372,6.1349,0.0021
5763.82445,6.1265,0.0021
5763.82518,6.1714,0.0031
5763.82592,6.0951,0.0031
5763.82662,6.1704,0.0031
5763.82732,6.0961,0.0031
5763.82806,6.1055,0.0031
5763.8288,6.0762,0.0031
5763.82954,6.0919,0.0031
5763.83028,6.1422,0.0031
5763.83102,6.0877,0.0031
5763.83176,6.0825,0.0031
5763.83249,6.1484,0.0031
5763.83323,6.1453,0.0031
5763.83396,6.1401,0.0031
5763.8347,6.1035,0.0031
5763.83545,6.0898,0.0031
5763.8362,6.094,0.0031
5763.83694,6.0794,0.0031
5763.83768,6.0783,0.0031
5763.83842,6.0951,0.0021
5763.83917,6.1537,0.0031
5763.8399,6.162,0.0031
5763.84064,6.1652,0.0031
5763.84138,6.0888,0.0031
5764.79855,5.3747,0.0098
5764.79948,5.3626,0.0087
5764.80041,5.3528,0.0066
5764.80134,5.333,0.0044
5764.80228,5.3462,0.0033
5764.80322,5.3506,0.0033
5764.80419,5.3506,0.0033
5764.80513,5.3495,0.0044
5764.90387,5.3221,0.0033
5764.90601,5.3001,0.0033
5764.90698,5.3078,0.0044
5764.90791,5.2957,0.0033
5764.90889,5.3035,0.0033
5764.91921,5.3035,0.0033
5764.9213,5.3001,0.0033
5764.92353,5.2814,0.0033
5764.92452,5.2936,0.0033
5764.9255,5.2705,0.0033
5764.92648,5.2903,0.0033
5764.93546,5.2727,0.0033
5764.93619,5.2848,0.0033
5764.93693,5.288,0.0033
5764.93767,5.299,0.0033
5764.9384,5.2848,0.0033
5764.93911,5.2616,0.0033
5764.95044,5.2727,0.0033
5764.95255,5.2672,0.0044
5764.9548,5.2672,0.0033
5764.95576,5.2661,0.0033
5764.95673,5.2716,0.0033
5764.95772,5.2716,0.0033
5764.95996,5.2694,0.0033
5764.96199,5.2694,0.0033
5764.96407,5.2594,0.0033
5767.77753,4.2305,0.0051
5767.84163,4.2444,0.0038
5767.84368,4.2178,0.0025
5767.84572,4.2217,0.0025
5767.84837,4.2242,0.0051
5767.91165,4.2089,0.0051
5767.91374,4.1937,0.0051
5768.76723,4.0357,0.0026
5768.77072,4.041,0.0066
5768.79139,4.0305,0.0053
5768.95476,3.9961,0.0027
