HJD,dmag,err
5739.0221,2.5558,0.0212
5739.05121,2.5663,0.0211
5739.10538,2.6182,0.017
5739.17447,2.5873,0.0173
5762.99865,5.9009,0.0056
5762.99999,6.2571,0.0033
5763.00132,6.0308,0.0066
5763.03293,6.0979,0.0055
5763.03427,6.0704,0.0044
5763.0356,6.2365,0.0054
5763.03694,6.2354,0.0054
5763.03827,6.1679,0.0109
5763.03961,6.193,0.0044
5763.04093,6.0671,0.0198
5763.04227,6.0594,0.0055
5763.04359,6.8857,0.0031
5763.04493,6.1176,0.0175
5763.04626,6.0638,0.0066
5763.0476,6.1777,0.0044
5763.04892,6.2213,0.0054
5763.05027,6.0308,0.0055
5763.0516,6.1625,0.0044
5763.05294,6.2028,0.0065
5763.05426,6.2636,0.0076
5763.0556,6.2147,0.0065
5763.05693,6.2028,0.0044
5763.05826,6.1799,0.0044
5763.06838,6.1635,0.0044
5763.06974,6.1657,0.0044
5763.0711,6.1308,0.0044
5763.07248,6.2831,0.0043
5763.07385,6.2202,0.0043
5763.0752,6.2093,0.0054
5763.07653,6.2235,0.0054
5763.07787,6.1614,0.0044
5763.0792,6.3844,0.0043
5763.08055,6.4241,0.0064
5763.08189,6.4027,0.0043
5763.08324,6.5629,0.0043
5763.08457,6.5842,0.0106
5763.08593,6.3187,0.0043
5763.08727,6.689,0.0032
5763.08862,6.3672,0.0054
5763.08996,6.8542,0.0031
5763.09129,6.2419,0.0043
5763.09266,6.2906,0.0076
5763.09402,6.4423,0.0054
5763.09931,6.6181,0.0053
5763.09999,6.3231,0.0054
5763.10064,6.3876,0.0064
5763.10128,6.5321,0.0053
5763.10193,6.9233,0.0042
5763.10259,6.3155,0.0054
5763.10323,6.3608,0.0054
5763.10389,6.2147,0.0065
5763.10455,6.4295,0.0054
5763.10591,6.3651,0.0054
5763.10656,6.3381,0.0065
5763.10722,6.4338,0.0043
5763.10788,6.5725,0.0064
5763.10854,6.4787,0.0043
5763.10919,6.364,0.0054
5763.10985,6.4915,0.0043
5763.11051,6.3511,0.0054
5763.11118,6.4456,0.0043
5763.11183,6.3629,0.0054
5763.11248,6.6901,0.0032
5763.11316,6.4627,0.0064
5763.14553,6.4199,0.0054
5763.1462,6.8438,0.0042
5763.14688,6.5661,0.0043
5763.14754,6.3973,0.0054
5763.1482,6.4958,0.0043
5763.14885,6.5043,0.0053
5763.14952,6.6086,0.0042
5763.15018,6.4958,0.0053
5763.15082,5.9599,0.01
5763.15149,6.3962,0.0054
5763.15215,6.7913,0.0042
5763.1528,6.5108,0.0053
5763.15346,6.6467,0.0042
5763.15412,6.4038,0.0054
5763.15477,6.4947,0.0053
5763.15543,6.4209,0.0054
5763.15609,6.4199,0.0054
5763.15674,6.4166,0.0054
5763.15741,6.5555,0.0053
5763.99022,5.8303,0.0067
5763.99099,5.9533,0.0067
5763.99174,6.1264,0.0066
5763.99251,5.9954,0.0055
5763.99326,6.0385,0.0055
