HJD,dmag,err
5739.52169,4.0921,0.0137
5739.56951,3.7772,0.0219
5740.46405,4.0878,0.0129
5740.48711,3.5793,0.0232
5740.50264,4.2168,0.0148
5740.54431,2.3702,0.0657
5758.47512,4.708,0.0092
5758.53444,4.5473,0.0109
5758.53598,4.3374,0.0133
5759.46582,4.8207,0.0074
5760.46843,5.0986,0.0038
5762.42232,5.8091,0.001
5762.43781,5.8188,0.0029
5762.4384,5.8139,0.0029
5762.439,5.7771,0.0039
5762.43959,5.7907,0.0029
5762.44019,5.8917,0.0029
5762.44079,5.88,0.0029
5762.4414,5.845,0.0029
5762.44199,5.8062,0.0029
5762.44258,5.7907,0.0029
5762.44317,5.7625,0.0039
5762.44432,5.8285,0.0029
5762.44492,5.8188,0.0029
5762.44552,5.8198,0.0029
5762.44612,5.8227,0.0029
5762.44673,5.8635,0.0029
5762.44732,5.8586,0.0029
5762.44793,5.8547,0.0029
5762.44853,5.8392,0.0029
5762.44913,5.8246,0.0029
5762.46285,5.8547,0.0029
5762.46345,5.8363,0.0029
5762.46464,5.8071,0.0029
5762.46525,5.8081,0.0029
5762.46586,5.8314,0.0029
5762.46646,5.8869,0.0029
5762.46706,5.8693,0.0029
5762.46767,5.8713,0.0029
5762.46829,5.8353,0.0029
5762.50173,5.8411,0.0029
5762.50233,5.8363,0.0029
5762.50294,5.8489,0.0029
5762.50354,5.845,0.0029
5762.50414,5.8538,0.0029
5762.50474,5.8421,0.0029
5762.50534,5.8732,0.0029
5762.50596,5.9316,0.0029
5762.50656,5.9131,0.0029
5762.50716,5.8975,0.0029
5763.4106,6.3877,0.0059
5763.41082,6.3739,0.0059
5763.41101,6.3847,0.0069
5763.41121,6.3936,0.0059
5763.41149,6.3671,0.0039
5763.41176,6.3808,0.0039
5763.41201,6.3818,0.0039
5763.41227,6.3651,0.0039
5763.41263,6.37,0.0029
5763.413,6.3818,0.0029
5763.42528,6.3828,0.0059
5763.42548,6.3847,0.0059
5763.42568,6.3838,0.0059
5763.42589,6.3847,0.0059
5763.42628,6.3729,0.0039
5763.42654,6.3808,0.0039
5763.4268,6.3671,0.0039
5763.42706,6.3729,0.0039
5763.42752,6.3779,0.0029
5763.4279,6.3769,0.0029
5763.43689,6.37,0.0059
5763.43709,6.3612,0.0059
5763.43729,6.372,0.0059
5763.43749,6.3759,0.0059
5763.43786,6.3759,0.0039
5763.43812,6.371,0.0039
5763.43837,6.3622,0.0039
5763.43861,6.3661,0.0049
5763.43906,6.3739,0.0029
5763.43943,6.368,0.0029
5763.44588,6.3543,0.002
5763.45135,6.3671,0.0059
5763.45156,6.3769,0.0059
5763.45175,6.3592,0.0059
5763.45196,6.372,0.0059
5763.45237,6.3612,0.0039
5763.45262,6.3651,0.0039
5763.45287,6.3513,0.0039
5763.45313,6.3543,0.0039
5763.45363,6.3563,0.0029
5763.45402,6.3622,0.0029
5763.46662,6.371,0.0059
5763.46682,6.37,0.0069
5763.46703,6.3523,0.0069
5763.46722,6.3808,0.0059
5763.4675,6.3523,0.0039
5763.46776,6.3563,0.0049
5763.46801,6.3504,0.0049
5763.46826,6.3504,0.0049
5763.46865,6.3563,0.0029
5763.46901,6.3572,0.0029
5763.48479,6.3062,0.0079
5763.48499,6.3415,0.0069
5763.48519,6.3622,0.0059
5763.48538,6.3553,0.0059
5763.48567,6.3474,0.0039
5763.48595,6.3454,0.0039
5763.4862,6.3484,0.0049
5763.48646,6.3464,0.0049
5763.48683,6.3553,0.0029
5763.4872,6.3543,0.0029
5763.49508,6.372,0.0059
5763.49528,6.3543,0.0059
5763.49547,6.3631,0.0059
5763.49568,6.3543,0.0059
5763.49595,6.3376,0.0049
5763.49621,6.3474,0.0039
5763.49647,6.3454,0.0039
5763.49673,6.3366,0.0039
5763.4971,6.3622,0.0029
5763.49748,6.3513,0.0029
5763.50614,6.3582,0.0059
5763.50635,6.3474,0.0059
5763.50655,6.3523,0.0059
5763.50675,6.3572,0.0059
5763.50704,6.3248,0.0049
5763.5073,6.3366,0.0039
5763.50755,6.3238,0.0039
5763.5078,6.3307,0.0039
5763.50817,6.3494,0.0029
5763.50854,6.3445,0.0029
5763.52244,6.3504,0.0069
5763.52264,6.3405,0.0069
5763.52284,6.3376,0.0069
5763.52304,6.3454,0.0059
5763.52331,6.3111,0.0049
5763.52356,6.3307,0.0039
5763.52382,6.3278,0.0039
5763.52408,6.3228,0.0049
5763.52445,6.3435,0.0029
5763.52483,6.3405,0.0029
5763.53606,6.3425,0.0069
5763.53626,6.3366,0.0059
5763.53646,6.3337,0.0059
5763.53666,6.3484,0.0079
5763.53695,6.3376,0.0039
5763.53719,6.3219,0.0039
5763.53746,6.3278,0.0049
5763.5377,6.3228,0.0049
5763.53806,6.3346,0.0029
5763.53844,6.3337,0.0029
5764.39144,5.6947,0.0039
5764.41073,5.6338,0.0068
5764.411,5.6261,0.0068
5764.41125,5.6348,0.0068
5764.4115,5.6348,0.0068
5764.41191,5.6309,0.0048
5764.41239,5.6242,0.0039
5764.41288,5.629,0.0039
5764.41335,5.6899,0.0039
5764.41405,5.6174,0.0029
5764.41488,5.6271,0.0029
5764.4272,5.6367,0.0106
5764.42745,5.6493,0.0106
5764.42796,5.6213,0.0087
5764.42837,5.601,0.0048
5764.42885,5.5981,0.0048
5764.42981,5.6097,0.0048
5764.43053,5.6078,0.0029
5764.43135,5.6193,0.0039
5764.43855,5.602,0.0077
5764.43883,5.6203,0.0068
5764.43908,5.6097,0.0068
5764.43933,5.6387,0.0068
5764.43982,5.6155,0.0039
5764.4403,5.6174,0.0039
5764.44077,5.6193,0.0039
5764.44126,5.6059,0.0039
5764.442,5.6068,0.0029
5764.44283,5.6049,0.0029
5764.45235,5.5663,0.0096
5764.45261,5.5904,0.0087
5764.45287,5.5981,0.0077
5764.45315,5.575,0.0077
5764.45358,5.5981,0.0039
5764.45408,5.5817,0.0048
5764.45456,5.5875,0.0048
5764.45578,5.5731,0.0039
5764.45662,5.5856,0.0039
5764.4691,5.5673,0.0077
5764.46937,5.5942,0.0077
5764.46963,5.5817,0.0077
5764.46988,5.5634,0.0087
5764.4703,5.5981,0.0039
5764.4708,5.6039,0.0039
5764.47129,5.5875,0.0048
5764.47181,5.5692,0.0048
5764.4725,5.5846,0.0029
5764.47333,5.5731,0.0039
5764.47962,5.5528,0.0087
5764.47987,5.5721,0.0077
5764.48012,5.5653,0.0077
5764.48039,5.5692,0.0087
5764.4808,5.5836,0.0048
5764.48128,5.5759,0.0048
5764.48177,5.5778,0.0048
5764.48225,5.5721,0.0039
5764.48295,5.5769,0.0029
5764.48378,5.5778,0.0029
5764.4942,5.5384,0.0087
5764.49447,5.574,0.0106
5764.49473,5.5384,0.0087
5764.49499,5.5605,0.0087
5764.49539,5.5702,0.0058
5764.49589,5.5913,0.0039
5764.4964,5.5624,0.0048
5764.49688,5.5673,0.0048
5764.49757,5.5653,0.0029
5764.4984,5.5557,0.0039
5764.50897,5.5432,0.0077
5764.50925,5.5239,0.0077
5764.5095,5.5326,0.0096
5764.50975,5.574,0.0125
5764.51017,5.5499,0.0048
5764.51065,5.5663,0.0048
5764.51114,5.5663,0.0058
5764.51162,5.5663,0.0058
5764.51231,5.5471,0.0039
5764.51314,5.5557,0.0039
5764.52355,5.5461,0.0048
5764.52455,5.5518,0.0058
5764.52503,5.5355,0.0048
5764.52573,5.5345,0.0038
5764.52657,5.5432,0.0039
5764.53655,5.5374,0.0096
5764.53683,5.5133,0.0087
5764.53708,5.522,0.0106
5764.53733,5.521,0.0106
5764.53772,5.5172,0.0058
5764.53822,5.522,0.0048
5764.5387,5.5259,0.0058
5764.53919,5.5249,0.0048
5764.53988,5.5374,0.0038
5764.54071,5.548,0.0039
5765.42793,5.2912,0.0057
5765.43028,5.3609,0.0038
5765.43134,5.275,0.0048
5766.42487,5.0629,0.0066
5767.4108,4.8597,0.0074
5768.42831,4.6832,0.0083
5768.43194,4.755,0.0046
5768.43383,4.9352,0.0056
5768.43571,4.8681,0.0047
5768.43759,4.6219,0.0064
