HJD,dmag,err
5616.18248,1.0451,0.1036
5616.1898,0.7096,0.1685
5616.20609,0.8025,0.1699
5619.08854,0.6261,0.3699
5619.0947,0.584,0.3951
5619.09741,0.8901,0.233
5619.10728,0.6183,0.3542
5619.11715,0.6073,0.2721
5619.12578,0.1103,0.5678
5619.13446,0.1854,0.493
5619.14187,0.5713,0.3499
5619.15174,1.0689,0.1892
5619.16161,0.8842,0.2055
5619.16901,0.293,0.533
5619.17768,1.1638,0.1429
5619.18632,-0.3757,0.6097
5619.19373,0.3122,0.378
5619.20235,-0.0128,0.4985
5620.08498,0.5773,0.2313
5620.09116,0.7917,0.1732
5620.10226,1.1092,0.1169
5620.11335,0.6606,0.1916
5620.12568,0.4155,0.2434
5620.13926,0.3138,0.2739
5620.15286,0.2768,0.2843
5620.20491,0.6087,0.2037
5620.20917,0.8395,0.215
5620.21043,1.0774,0.2458
5623.0937,-0.0198,0.6598
5623.10973,0.4701,0.2973
5623.11589,-0.3832,0.6177
5623.11712,-1.0626,1.3191
5623.12947,-0.5856,0.9293
5623.14056,1.0225,0.1303
5623.15167,1.0037,0.1301
5623.16407,0.6083,0.2369
5623.17516,-1.2805,1.7547
5623.19864,0.2883,0.2782
5623.2085,0.2853,0.3518
5623.2184,-0.5282,1.8615
5625.1091,-0.1887,0.7452
5627.16556,0.7504,0.2861
5627.19269,0.8068,0.1106
5627.20384,0.9511,0.1038
5627.21616,0.9932,0.0941
5627.22849,0.8264,0.2054
5628.22298,1.0379,0.2404
5629.19044,0.8982,0.0912
5629.20154,0.8463,0.0855
5629.21263,0.7735,0.1114
5629.22745,1.1987,0.1714
5630.14903,0.8193,0.1183
5630.16012,1.0373,0.0968
5630.17122,1.0065,0.0735
5630.18483,0.3981,0.3041
5630.19594,0.9988,0.0834
5630.20705,1.2176,0.4754
5631.05816,1.1211,0.0883
5631.0668,1.0296,0.08
5631.07668,0.7668,0.0958
5631.11737,0.5583,0.3016
5631.12971,0.5855,0.5446
5633.05451,0.9203,0.1577
5633.06314,0.9845,0.0918
5633.07301,0.9601,0.1008
5633.08534,0.8293,0.0993
5633.09646,0.9888,0.0689
5633.10633,0.5456,0.1304
5633.10881,0.9745,0.0772
5633.11867,1.1029,0.0722
5633.11991,0.8116,0.0874
5633.13057,0.8622,0.1256
5633.14167,0.9566,0.1005
5633.154,0.8699,0.0851
5633.16634,0.8482,0.0806
5633.17744,0.9285,0.107
5633.18853,0.9219,0.0921
5633.20097,0.975,0.0798
5633.21207,0.8364,0.09
5633.22441,0.9741,0.0993
5634.05719,1.0291,0.143
5634.0683,0.619,0.1445
5634.06953,0.8387,0.141
5634.08063,0.9584,0.1397
5634.08555,0.8428,0.1463
5634.09543,1.0555,0.1382
5634.10653,0.9767,0.1658
5634.11763,0.3538,0.3441
5634.13,-0.3669,0.675
5634.13246,0.8927,0.1356
5634.13369,1.066,0.126
5634.14356,0.861,0.1341
5634.15465,0.6304,0.1806
5634.16945,0.8599,0.205
5634.18549,0.7284,0.1925
5634.19906,0.813,0.1287
5634.21139,0.952,0.1235
5634.22252,0.9962,0.1035
5634.23363,0.9487,0.1885
5636.0472,0.7097,0.171
5636.05438,0.7385,0.159
5636.06549,1.0463,0.1202
5636.07782,1.0931,0.0735
5636.09018,1.0608,0.0743
5636.10133,0.9843,0.0793
5636.11245,0.9061,0.0821
5636.12479,1.0049,0.091
5636.13602,0.331,0.188
5636.14714,0.8276,0.1711
5636.15948,0.6917,0.1413
5636.17063,0.9176,0.1068
5636.18174,0.6616,0.1061
5636.19538,0.87,0.0814
5636.21019,0.8346,0.0936
5636.2213,0.9462,0.0857
5636.23364,0.4632,0.242
5638.0359,0.8118,0.2647
5638.04156,0.333,0.4218
5638.04666,0.3494,0.3877
5638.05777,1.2793,0.2004
5638.0689,0.4744,0.255
5638.08124,2.214,0.1333
5638.10593,0.8956,0.1592
5638.1195,0.7391,0.1332
5638.13059,0.7752,0.1872
5638.14172,0.7254,0.1752
5638.1553,1.0483,0.0913
5638.16643,1.0679,0.0733
5638.17879,0.5848,0.1137
5638.19115,0.9186,0.0825
5638.20595,0.8255,0.0776
5638.21829,0.848,0.1045
5638.23185,0.5753,0.2204
5639.07931,1.2964,0.6059
5639.12568,0.7136,0.3679
5639.13555,0.3606,0.6844
5639.13801,1.1961,0.3048
5639.15734,-0.1199,0.5578
5639.16966,0.4024,0.2818
5639.182,0.4201,0.3741
5639.1968,1.0112,0.1925
5639.20668,0.9214,0.175
5639.21901,0.932,0.1409
5639.23258,0.5513,0.2609
5639.2338,1.0519,0.1494
5642.043,0.9912,0.1886
5642.04669,1.1687,0.1324
5642.05779,1.2411,0.1051
5642.07013,1.0508,0.1076
5642.0825,0.9985,0.1853
5642.09361,1.1716,0.1987
5642.10596,1.1617,0.1099
5642.11951,1.1154,0.0834
5643.07672,1.3029,0.2322
5643.08905,1.2467,0.1168
5643.10141,0.8386,0.1399
5643.11501,0.6831,0.242
5644.02565,0.9207,0.1239
5644.03321,1.278,0.1119
5644.04431,0.9054,0.1179
5644.05792,0.8792,0.1175
5644.07031,0.8231,0.1437
5644.08152,0.8427,0.1322
5644.09261,1.0115,0.0952
5644.10495,0.9988,0.0949
5644.11604,0.7956,0.1087
5644.12837,0.9932,0.0951
5644.1407,0.569,0.1285
5644.15429,0.9641,0.1181
5644.16539,0.8916,0.1124
5644.17776,0.8735,0.1398
5644.19136,1.1674,0.0868
5644.20245,0.8799,0.1034
5644.21479,0.9994,0.1153
