HJD,dmag,err
5762.72071,6.035,0.0379
5762.72481,6.0313,0.0376
5762.7263,6.0454,0.0377
5762.72781,6.0389,0.0376
5762.72932,6.0419,0.0374
5762.73082,6.0482,0.038
5762.73233,6.0586,0.0369
5762.73384,6.063,0.0367
5762.73534,6.0626,0.0365
5762.73685,6.0584,0.0362
5762.75106,6.0611,0.0304
5762.75221,6.0705,0.031
5762.75336,6.0646,0.0311
5762.7545,6.0744,0.031
5762.75565,6.0757,0.0308
5762.7568,6.0686,0.0305
5762.75795,6.0657,0.0298
5762.75909,6.0414,0.021
5762.76024,6.0123,0.0238
5762.76139,6.0399,0.0268
5762.76253,6.0558,0.023
5762.76368,6.0557,0.0258
5762.76483,5.9958,0.0214
5762.77516,6.1153,0.0262
5762.7763,6.0855,0.0237
5762.77975,6.0841,0.0289
5762.78089,6.0649,0.0281
5762.78204,6.089,0.0243
5762.78319,6.0783,0.0249
5762.78549,6.0964,0.0284
5762.78663,6.0906,0.0315
5762.78778,6.1031,0.0313
5762.78893,6.0762,0.0279
5762.79007,6.0935,0.0291
5762.79122,6.1049,0.0303
5762.79237,6.0988,0.0311
5762.79351,6.1029,0.0308
5762.79466,6.1036,0.0307
5762.7958,6.0933,0.0217
5762.79674,6.0928,0.0353
5762.79824,6.0979,0.0348
5762.79973,6.1028,0.0345
5762.80122,6.1049,0.0332
5762.80272,6.1258,0.0331
5762.80421,6.0144,0.0241
5762.81168,6.0544,0.0303
5763.65756,6.2378,0.0289
5763.66344,6.2384,0.0328
5763.66831,6.2297,0.0327
5763.66981,6.2391,0.033
5763.6713,6.2331,0.0338
5763.67279,6.2306,0.0336
5763.67428,6.2359,0.0336
5763.67578,6.2366,0.0338
5763.67727,6.242,0.0336
5763.67876,6.2313,0.0337
5763.68026,6.2217,0.0339
5763.68175,6.213,0.0343
5763.68324,6.2285,0.034
5763.68474,6.222,0.0344
5763.68623,6.212,0.0346
5763.68772,6.2297,0.034
5763.70132,6.2134,0.0327
5763.70324,6.2186,0.0329
5763.70647,6.2213,0.0326
