HJD,dmag,err
5614.84827,0.8381,0.0762
5615.85658,0.7389,0.0724
5616.84874,0.9646,0.0773
5617.8853,0.6752,0.1418
5620.83695,0.5846,0.0824
5621.84016,0.5727,0.0713
5622.87474,1.0234,0.0409
5624.83317,0.5366,0.0858
5625.81236,0.8189,0.0677
5626.80326,0.2461,0.1571
5627.8366,0.894,0.0546
5628.84732,0.5243,0.0743
5629.81552,0.7895,0.0694
5630.79292,0.8092,0.0683
5631.81391,0.7795,0.09
5632.82797,0.8381,0.0667
5633.78521,0.7492,0.0615
5634.84007,0.7075,0.0743
5635.84767,0.7285,0.0834
5637.801,0.686,0.0973
5638.78742,0.7795,0.08
5639.76733,0.5608,0.0961
5639.84309,0.7695,0.0705
5640.77332,0.7075,0.0955
5640.81151,0.7075,0.0849
5640.84973,0.5488,0.097
5640.89945,0.8756,0.0647
5641.76312,0.7795,0.08
5641.80618,0.7994,0.0787
5641.88795,0.8189,0.0677
5642.76655,0.8092,0.0683
5642.82745,0.7795,0.07
5642.88732,0.903,0.0723
5643.74619,0.642,0.0785
5643.78135,0.6968,0.075
5643.81932,0.9386,0.0526
5643.87962,0.8189,0.0581
5644.74693,0.6968,0.0964
5644.78883,0.9901,0.0673
5644.85597,0.894,0.0637
5644.90461,0.7895,0.0893
5647.78711,0.8381,0.0762
5647.84731,0.9901,0.0589
5647.86847,1.0152,0.0577
5647.88447,0.7285,0.0834
5647.90231,0.6194,0.0914
5648.73304,0.9209,0.0712
5648.77176,0.857,0.0563
5648.83708,0.8092,0.0585
5648.87968,0.9646,0.0515
5649.7405,0.8848,0.0733
5649.77713,1.0636,0.0476
5649.84297,0.9646,0.0515
5649.88357,0.8664,0.0558
5650.72989,0.9901,0.0589
5650.76925,0.9817,0.0508
5650.83156,0.718,0.0632
5650.87589,0.903,0.0542
5651.75115,0.8286,0.0576
5651.79146,0.718,0.0632
5651.86345,0.9817,0.0508
5651.91002,0.857,0.0563
5652.79173,0.9817,0.0508
5652.83405,0.9209,0.0445
5653.75607,0.903,0.0542
5653.87544,0.9298,0.053
5653.88855,0.857,0.0563
5654.75534,0.8848,0.0642
5654.81113,0.8286,0.0672
5654.8511,0.9474,0.061
5654.89424,0.9985,0.0501
5655.75262,0.912,0.0628
5655.79092,0.903,0.0632
5655.82895,0.7695,0.0605
5655.87543,0.8756,0.0554
5656.76662,0.956,0.0519
5656.81241,0.8189,0.0581
5656.85235,0.7895,0.0496
5657.76211,0.894,0.0455
5657.80102,0.8189,0.0581
5657.84178,0.894,0.0546
5657.88795,0.8476,0.0473
5658.75201,0.8286,0.0768
5658.79713,1.0716,0.0551
5658.85389,0.9985,0.0501
5658.89441,1.0234,0.0573
5659.71057,0.642,0.0897
5659.74858,0.7389,0.0621
5659.78678,1.0872,0.0467
5659.82676,0.8189,0.0677
5659.87159,0.956,0.0519
5659.91715,0.8664,0.0558
5660.74453,1.0152,0.0577
5660.78905,0.894,0.0546
5660.83072,0.8189,0.0581
5660.90237,0.9386,0.0614
5662.73961,0.8286,0.0672
5662.78003,0.8848,0.0642
5662.84108,0.8848,0.0642
5662.87977,0.8664,0.0558
5662.92114,0.9298,0.053
5664.74148,0.9386,0.0702
5664.78636,1.1553,0.0589
5664.84655,0.903,0.0632
5664.88817,0.903,0.0632
5664.9294,0.912,0.0807
5665.75345,0.7895,0.0793
5665.79917,0.903,0.0542
5665.86335,0.903,0.0542
5665.91103,1.1026,0.0461
5667.71492,0.7994,0.059
5667.72778,1.0315,0.0488
5667.75421,0.9209,0.0623
5667.76753,0.903,0.0632
5667.78211,0.8664,0.0558
5667.80613,0.9901,0.0505
5667.81996,1.1026,0.0461
5667.83391,0.9209,0.0534
5667.84832,0.956,0.0519
5667.87267,0.894,0.0455
5667.8884,1.0396,0.0485
5667.9018,1.0315,0.0488
5667.91662,0.894,0.0546
5667.93117,1.0477,0.0562
5668.71745,1.0152,0.0577
5668.73264,0.9298,0.0618
5668.75724,0.9386,0.0702
5668.77462,0.9298,0.0618
5668.78685,1.1405,0.0596
5668.82343,0.894,0.0637
5668.84012,0.8848,0.0642
5668.86814,1.1026,0.0538
5668.88254,1.0716,0.0551
5668.89606,1.0396,0.0646
5668.90893,0.9386,0.0614
5668.92167,1.0234,0.0573
5669.73348,1.0636,0.0555
5669.74946,1.1026,0.0461
5669.77071,0.8381,0.0571
5669.78465,0.9646,0.0515
5669.79704,0.9386,0.0526
5669.81004,1.0069,0.0498
5669.83316,1.0557,0.0479
5669.84734,0.9817,0.0508
5669.87172,1.0152,0.0494
5669.8855,1.0477,0.0562
5669.89875,0.9985,0.0585
5669.91124,0.9732,0.0597
5670.71864,0.9298,0.0618
5670.73127,1.0234,0.0573
5670.74584,0.956,0.0605
5670.75843,1.0234,0.0573
5670.77167,0.9646,0.0601
5670.79739,0.9732,0.0597
5670.82232,1.0069,0.0581
5670.83538,0.9985,0.0668
5670.85011,1.0477,0.0642
5670.8632,1.0477,0.0482
5670.87783,1.1405,0.0522
5670.89164,1.0069,0.0498
5670.90457,0.894,0.0637
5670.91782,1.0069,0.0581
5671.72718,0.8664,0.0745
5671.74056,1.0794,0.0548
5671.75337,1.0794,0.0548
5671.76764,1.0234,0.0573
5675.70374,1.1026,0.0538
5675.71698,1.0152,0.0494
5675.72974,0.956,0.0519
5675.74235,0.9901,0.0589
5675.75542,1.0636,0.0555
5675.76809,1.0949,0.0541
5675.78071,1.0716,0.0551
5675.79391,0.8476,0.0567
5675.80742,1.0716,0.063
5675.82098,1.0872,0.0544
5675.85106,1.0315,0.0488
5675.86679,1.0315,0.0488
5675.891,1.0557,0.0479
5675.90424,1.1179,0.0531
5675.91974,1.1179,0.0531
5676.66891,1.1255,0.0377
5676.68168,1.0872,0.0311
5676.69469,0.8848,0.0367
5676.70743,0.8476,0.0378
5676.72067,1.0636,0.0396
5676.73386,1.1179,0.0379
5676.74657,1.0716,0.0394
5676.75935,0.956,0.0432
5676.77274,1.1987,0.0356
5676.78619,1.0069,0.0498
5676.79949,1.0234,0.0491
5676.81776,1.1553,0.0442
5676.85073,0.9732,0.0512
5676.85967,1.0557,0.0399
5676.87364,1.1026,0.0461
5676.89681,1.0636,0.0396
5676.90976,1.1553,0.0442
5676.92304,1.0949,0.0464
5677.69798,1.1916,0.0501
5677.71457,1.0949,0.0464
5677.72772,1.0557,0.0479
5677.74273,1.0636,0.0476
5677.75669,0.9901,0.0505
5677.77241,1.0234,0.0491
5677.78503,0.9985,0.0501
5677.79831,1.1844,0.0504
5677.82281,1.1916,0.0501
5677.83519,1.0716,0.0473
5677.85983,1.0477,0.0482
5677.87479,1.0949,0.0464
5677.88743,0.9474,0.0523
5677.90183,0.9209,0.0534
5677.91468,1.0949,0.0386
5679.66567,1.133,0.0525
5679.67871,0.956,0.0605
5679.6927,1.0477,0.0482
5679.70675,1.0872,0.0467
5679.72079,1.0557,0.0479
5679.73454,0.9646,0.0515
5679.74818,1.1026,0.0461
5679.77132,1.1987,0.0427
5679.78653,1.0234,0.0573
5679.79982,0.956,0.0605
5679.81391,1.0477,0.0562
5679.83758,0.9985,0.0501
5679.85136,1.1553,0.0442
5679.86577,1.0872,0.0467
5679.89169,1.1916,0.0429
5679.90421,0.912,0.0538
5679.91716,1.0794,0.047
5680.65377,1.0396,0.0646
5680.6668,1.1479,0.0593
5680.67965,0.9817,0.0593
5680.69281,1.0152,0.0659
5680.70535,1.0949,0.0541
5680.71826,0.8756,0.0739
5680.73152,1.0557,0.0558
5680.74467,1.1479,0.0445
5680.76728,1.1179,0.0531
5680.78006,0.9646,0.0687
5680.79395,1.1026,0.0461
5680.81966,1.2338,0.0484
5680.83389,1.1626,0.0439
5680.84777,1.0234,0.0491
5680.86262,1.2129,0.0422
5680.877,0.9901,0.0505
5680.89101,1.1103,0.0458
5680.90429,1.0872,0.0467
5680.91807,0.9474,0.061
5681.6577,1.3143,0.052
5681.67059,1.0315,0.0569
5681.68321,1.1103,0.0535
5681.69597,1.1987,0.0498
5681.7088,1.0396,0.0485
5681.72143,1.1626,0.0439
5681.73474,1.1772,0.0434
5681.74769,1.1479,0.0445
5681.76076,1.1179,0.0455
5681.78574,1.1179,0.0531
5681.79898,1.0872,0.0467
5681.82381,1.1699,0.0437
5681.83818,1.1479,0.0445
5681.85404,1.1179,0.0531
5681.86848,1.1916,0.0501
5681.8818,1.1699,0.0437
5681.89574,1.1179,0.0455
5681.9084,1.0949,0.0464
5681.92169,1.1987,0.0427
5682.65795,1.1553,0.0516
5682.67048,1.0872,0.0544
5682.6839,1.2544,0.0409
5682.69833,1.1699,0.051
5682.71222,1.1916,0.0501
5682.72588,1.2612,0.0406
5682.74498,1.1479,0.0445
5682.75978,1.1553,0.0442
5682.77393,1.1844,0.0432
5682.78857,1.1479,0.0445
5682.81168,1.0872,0.0467
5682.82658,1.2129,0.0422
5682.85289,1.1553,0.0442
5682.87807,1.0396,0.0485
5682.8919,1.0636,0.0476
5682.90546,1.1026,0.0538
5682.91831,1.2338,0.0415
5682.93087,1.0794,0.0548
5683.65539,1.1772,0.0434
5683.67877,1.1479,0.0445
5683.69257,1.1626,0.0439
5683.70636,1.1553,0.0442
5683.72952,1.0949,0.0464
5683.76372,1.1405,0.0447
5683.78614,1.1405,0.0447
5683.79935,1.1026,0.0461
5683.81221,1.1026,0.0461
5683.82623,1.2058,0.0354
5683.85631,1.1987,0.0427
5683.87207,1.1553,0.0442
5683.88598,1.2129,0.0422
5683.89934,1.0315,0.0488
5683.91384,1.1844,0.0432
5683.92759,1.1255,0.0452
5684.64919,1.268,0.0404
5684.67448,1.0716,0.0473
5684.68865,1.0636,0.0476
5684.70256,1.1772,0.0434
5684.72552,1.1479,0.0445
5684.73941,1.0716,0.0473
5684.7617,1.0716,0.0473
5684.7764,1.0396,0.0485
5684.78943,1.2058,0.0424
5684.81414,1.1479,0.0445
5684.8285,1.133,0.045
5684.85949,1.1699,0.0437
5684.87353,1.2407,0.0413
5684.88705,1.1626,0.0439
5684.90054,1.0636,0.0476
5684.91377,1.1844,0.0432
5684.92725,1.1103,0.0458
5685.65354,1.2747,0.0469
5685.74176,1.2612,0.0406
5685.76378,1.0949,0.0464
5685.77733,1.1844,0.036
5685.79034,1.1479,0.037
5685.80331,1.1916,0.0358
5685.81654,1.1255,0.0377
5685.84206,1.1626,0.0366
5685.85558,1.2407,0.0344
5685.87028,1.1916,0.0358
5685.88612,1.1179,0.0455
5685.89964,1.1553,0.0442
5685.91356,1.1916,0.0429
5685.92715,1.1179,0.0455
5686.65204,1.2612,0.0474
5686.66637,1.1405,0.0522
5686.69028,1.2129,0.0422
5686.71402,1.1844,0.0432
5686.73974,1.0477,0.0482
5686.75938,1.1553,0.0368
5686.78302,1.2199,0.035
5686.79712,1.1026,0.0461
5686.81024,1.3336,0.032
5686.83147,1.2407,0.0413
5686.84445,1.1553,0.0516
5686.86042,1.1699,0.0437
5686.87312,1.3078,0.0392
5686.88636,1.3078,0.0457
5686.89907,1.0636,0.0555
5686.91253,1.1699,0.051
5686.92613,1.1987,0.0498
5687.65035,1.34,0.0509
5687.66362,1.1987,0.0569
5687.6791,1.1987,0.0498
5687.69341,1.1255,0.0528
5687.70842,1.2544,0.0409
5687.72311,1.1772,0.0507
5687.7465,1.3012,0.046
5687.75898,1.1916,0.0429
5687.77325,1.1699,0.0437
5687.78757,1.2129,0.0422
5687.8115,1.1626,0.0439
5687.82595,1.1772,0.0434
5687.84045,1.1626,0.0366
5688.81139,1.2476,0.0411
5688.84001,1.2199,0.042
5688.86292,1.2269,0.0418
5688.87709,1.2407,0.0413
5688.90802,1.3527,0.0442
5688.92085,1.2814,0.0467
5688.93389,1.1405,0.0522
5689.66936,1.3207,0.0388
5689.68199,1.1987,0.0356
5689.69473,1.2058,0.0354
5689.73399,1.2544,0.0409
5689.74683,1.1699,0.0437
5689.76957,1.2544,0.0409
5689.7824,1.2476,0.0411
5689.79618,1.2129,0.0422
5689.8095,1.133,0.0375
5689.82274,1.1479,0.037
