HJD,dmag,err
5758.45396,4.2351,0.0494
5758.4572,4.1907,0.0629
5759.3576,4.196,0.042
5759.36157,4.3783,0.0593
5760.2603,4.6442,0.029
5760.34724,4.6695,0.0337
5763.23239,6.3905,0.0066
5763.26234,6.4061,0.0066
5763.28005,6.3905,0.0076
5763.30576,6.4019,0.0066
5763.32265,6.4019,0.0066
5763.32518,6.403,0.0066
5763.34197,6.3999,0.0066
5763.35866,6.3832,0.0066
5763.37545,6.3759,0.0066
5763.39209,6.3759,0.0066
5763.40894,6.3676,0.0066
5763.43335,6.3603,0.0066
5763.45725,6.3457,0.0066
5763.48484,6.3572,0.0066
5763.51102,6.3499,0.0076
5763.53888,6.3154,0.0106
5763.57098,6.2935,0.0076
5763.5981,6.2904,0.0076
5764.22682,5.7765,0.0099
5764.24954,5.7615,0.0099
5764.27435,5.739,0.0099
5764.29778,5.7271,0.0099
5764.32443,5.6841,0.011
5764.34737,5.6668,0.011
5764.383,5.6495,0.011
5764.40961,5.6193,0.011
5764.43474,5.6106,0.0111
5764.4582,5.59,0.0111
5764.48434,5.5574,0.0122
5764.50839,5.5269,0.0122
5764.53592,5.5454,0.0122
5764.56451,5.5072,0.0122
5764.59232,5.4602,0.0133
5765.25371,5.3489,0.0124
5765.28903,5.1094,0.016
5765.31338,5.0867,0.0161
5765.33747,5.0707,0.0161
5765.38537,5.0308,0.0162
