HJD,dmag,err
5761.05492,4.9655,0.0196
5761.06915,4.9029,0.0264
5761.12722,4.9784,0.0208
5761.16292,4.981,0.0247
5761.18302,4.9991,0.022
5761.18527,5.0016,0.022
5761.18751,4.9952,0.022
5761.18977,4.9965,0.0208
5761.19203,5.0029,0.022
5762.93057,6.2209,0.0101
5762.94286,6.1716,0.0101
5762.97513,6.2591,0.009
5762.97742,6.2362,0.0101
5762.99904,6.1266,0.0102
5763.02355,6.0603,0.0091
5763.0261,6.2297,0.009
5763.02856,6.0946,0.0091
5763.03082,6.2133,0.008
5763.06715,6.1968,0.0049
5763.07939,6.1563,0.008
5763.08407,6.2471,0.0079
5763.08625,6.2787,0.0059
5763.18424,5.6429,0.0095
5763.18798,5.6406,0.0084
5763.2059,5.7933,0.0094
5763.88297,6.0758,0.0102
5763.88578,6.0215,0.0102
5763.88848,6.0581,0.0102
5763.89072,6.0515,0.0102
5763.89747,6.0681,0.007
5763.90093,6.0526,0.0091
5763.90484,6.0515,0.0091
5763.90719,6.0126,0.0103
5763.98399,5.9501,0.0103
5763.99696,5.9602,0.0081
5764.0058,5.9635,0.0081
5764.00882,5.9501,0.0092
5764.0284,5.8217,0.0083
5764.0554,5.9052,0.0104
5764.08158,5.8985,0.0115
5764.08435,5.8985,0.0093
5764.0874,5.8782,0.0093
5764.12137,5.885,0.0082
5764.12386,5.859,0.0115
5764.12831,5.8545,0.0115
5764.13071,5.8601,0.0104
5764.13398,5.8466,0.0115
5765.21406,5.5239,0.0042
5765.22232,4.9499,0.007
5766.05018,4.8461,0.0162
5766.05386,4.7588,0.0219
5766.10519,4.7234,0.0221
5766.15672,4.7124,0.029
5766.19388,4.7083,0.0262
5766.19679,4.6945,0.0263
5766.96205,4.4715,0.0338
5767.13855,4.4064,0.0345
5767.20598,4.4832,0.0337
5769.03891,4.0671,0.0587
5769.11006,4.5051,0.0335
