time,xrsa,xrsb
2011-06-06 23:59:59.961999,1e-09,1.8871e-07
2011-06-07 00:00:02.008999,1e-09,1.8346e-07
2011-06-07 00:00:04.058999,1e-09,1.8609e-07
2011-06-07 00:00:06.104999,1e-09,1.8084e-07
2011-06-07 00:00:08.151999,1e-09,1.8609e-07
2011-06-07 00:00:10.201999,1e-09,1.8084e-07
2011-06-07 00:00:12.248999,1e-09,1.8609e-07
2011-06-07 00:00:14.298999,1e-09,1.8346e-07
2011-06-07 00:00:16.344999,1e-09,1.8084e-07
2011-06-07 00:00:18.391999,1e-09,1.8346e-07
2011-06-07 00:00:20.441999,1e-09,1.8084e-07
2011-06-07 00:00:22.488999,1e-09,1.8346e-07
2011-06-07 00:00:24.534999,1e-09,1.8084e-07
2011-06-07 00:00:26.584999,1e-09,1.8871e-07
2011-06-07 00:00:28.631999,1e-09,1.8346e-07
2011-06-07 00:00:30.678999,1e-09,1.8346e-07
2011-06-07 00:00:32.728999,1e-09,1.8346e-07
2011-06-07 00:00:34.774999,1e-09,1.8084e-07
2011-06-07 00:00:36.824999,1e-09,1.8084e-07
2011-06-07 00:00:38.871999,1e-09,1.8084e-07
2011-06-07 00:00:40.918999,1e-09,1.8084e-07
2011-06-07 00:00:42.968999,1e-09,1.8084e-07
2011-06-07 00:00:45.014999,1e-09,1.8084e-07
2011-06-07 00:00:47.064999,1e-09,1.8609e-07
2011-06-07 00:00:49.111999,1e-09,1.8084e-07
2011-06-07 00:00:51.158999,1e-09,1.8084e-07
2011-06-07 00:00:53.208999,1e-09,1.8609e-07
2011-06-07 00:00:55.254999,1e-09,1.8346e-07
2011-06-07 00:00:57.304999,1e-09,1.8084e-07
2011-06-07 00:00:59.351999,1e-09,1.8346e-07
2011-06-07 00:01:01.398999,1e-09,1.7822e-07
2011-06-07 00:01:03.448999,1e-09,1.8346e-07
2011-06-07 00:01:05.494999,1e-09,1.8084e-07
2011-06-07 00:01:07.544999,1e-09,1.8346e-07
2011-06-07 00:01:09.591999,1e-09,1.8346e-07
2011-06-07 00:01:11.638999,1e-09,1.8346e-07
2011-06-07 00:01:13.688999,1e-09,1.8084e-07
2011-06-07 00:01:15.734999,1e-09,1.8346e-07
2011-06-07 00:01:17.784999,1e-09,1.8346e-07
2011-06-07 00:01:19.831999,1e-09,1.8346e-07
2011-06-07 00:01:21.878999,1e-09,1.8346e-07
2011-06-07 00:01:23.928999,1e-09,1.7822e-07
2011-06-07 00:01:25.974999,1e-09,1.8346e-07
2011-06-07 00:01:28.024999,1e-09,1.8346e-07
2011-06-07 00:01:30.071999,1e-09,1.7822e-07
2011-06-07 00:01:32.118999,1e-09,1.8084e-07
2011-06-07 00:01:34.168999,1e-09,1.8084e-07
2011-06-07 00:01:36.214999,1e-09,1.8084e-07
2011-06-07 00:01:38.261999,1e-09,1.7297e-07
2011-06-07 00:01:40.311999,1e-09,1.7822e-07
2011-06-07 00:01:42.358999,1e-09,1.7559e-07
2011-06-07 00:01:44.408999,1e-09,1.7822e-07
2011-06-07 00:01:46.454999,1e-09,1.7297e-07
2011-06-07 00:01:48.501999,1e-09,1.8084e-07
2011-06-07 00:01:50.551999,1e-09,1.7559e-07
2011-06-07 00:01:52.598999,1e-09,1.7559e-07
2011-06-07 00:01:54.648999,1e-09,1.8084e-07
2011-06-07 00:01:56.694999,1e-09,1.7559e-07
2011-06-07 00:01:58.741999,1e-09,1.7559e-07
2011-06-07 00:02:00.791999,1e-09,1.7822e-07
2011-06-07 00:02:02.838999,1e-09,1.7297e-07
2011-06-07 00:02:04.888999,1e-09,1.8084e-07
2011-06-07 00:02:06.934999,1e-09,1.7559e-07
2011-06-07 00:02:08.981999,1e-09,1.7559e-07
2011-06-07 00:02:11.031999,1e-09,1.7559e-07
2011-06-07 00:02:13.078999,1e-09,1.8084e-07
2011-06-07 00:02:15.128999,1e-09,1.7559e-07
2011-06-07 00:02:17.174999,1e-09,1.7559e-07
2011-06-07 00:02:19.221999,1e-09,1.7559e-07
2011-06-07 00:02:21.271999,1e-09,1.7822e-07
2011-06-07 00:02:23.318999,1e-09,1.7822e-07
2011-06-07 00:02:25.368999,1e-09,1.8084e-07
2011-06-07 00:02:27.414999,1e-09,1.8609e-07
2011-06-07 00:02:29.461999,1e-09,1.8609e-07
2011-06-07 00:02:31.511999,1e-09,1.8609e-07
2011-06-07 00:02:33.558999,1e-09,1.8346e-07
2011-06-07 00:02:35.608999,1e-09,1.8871e-07
2011-06-07 00:02:37.654999,1e-09,1.8871e-07
2011-06-07 00:02:39.701999,1e-09,1.8609e-07
2011-06-07 00:02:41.751999,1e-09,1.8346e-07
2011-06-07 00:02:43.798999,1e-09,1.8609e-07
2011-06-07 00:02:45.848999,1e-09,1.8346e-07
2011-06-07 00:02:47.894999,1e-09,1.8609e-07
2011-06-07 00:02:49.941999,1e-09,1.8871e-07
2011-06-07 00:02:51.991999,1e-09,1.8346e-07
2011-06-07 00:02:54.038999,1e-09,1.8346e-07
2011-06-07 00:02:56.088999,1e-09,1.8609e-07
2011-06-07 00:02:58.134999,1e-09,1.8346e-07
2011-06-07 00:03:00.181999,1e-09,1.8346e-07
2011-06-07 00:03:02.231999,1e-09,1.8346e-07
2011-06-07 00:03:04.278999,1e-09,1.8871e-07
2011-06-07 00:03:06.328999,1e-09,1.8609e-07
2011-06-07 00:03:08.374999,1e-09,1.8084e-07
2011-06-07 00:03:10.421999,1e-09,1.8346e-07
2011-06-07 00:03:12.468999,1e-09,1.8346e-07
