x,value,error,note
2018-10-29T13:53:18.01148Z,0.999,0.022,Note 1
2018-10-29T13:53:18.01198Z,1.0,0.022,Note 2
2018-10-29T13:53:18.1Z,1.002,0.012,A second note
2018-10-29T13:53:18.2Z,0.999,0.012,This point has a note
2018-10-29T13:53:18.3Z,0.997,0.013,
2018-10-29T13:53:18.4Z,0.999,0.03,
2018-10-29T13:53:18.5Z,0.997,0.013,
2018-10-29T13:53:18.6Z,0.99,0.022,
2018-10-29T13:53:18.7Z,0.995,0.017,
2018-10-29T13:53:18.8Z,0.996,0.009,
2018-10-29T13:53:18.9Z,1.001,0.404,
2018-10-29T13:53:19.0Z,1.004,0.021,
2018-10-29T13:53:19.1Z,0.995,0.012,
2018-10-29T13:53:19.2Z,0.997,0.022,
2018-10-29T13:53:19.3Z,0.993,0.03,
2018-10-29T13:53:19.4Z,0.994,0.016,
2018-10-29T13:53:19.5Z,0.997,0.02,
2018-10-29T13:53:19.6Z,0.993,0.026,
2018-10-29T13:53:19.7Z,0.999,0.022,
2018-10-29T13:53:19.8Z,0.993,0.015,
2018-10-29T13:53:19.9Z,1.002,0.011,
2018-10-29T13:53:20.0Z,1,0.033,
2018-10-29T13:53:20.1Z,0.995,0.02,
2018-10-29T13:53:20.2Z,0.997,0.011,
2018-10-29T13:53:20.3Z,0.995,0.022,
2018-10-29T13:53:20.4Z,0.999,0.015,
2018-10-29T13:53:20.5Z,0.997,0.018,
2018-10-29T13:53:20.6Z,0.996,0.008,
2018-10-29T13:53:20.7Z,0.988,0.021,
2018-10-29T13:53:20.8Z,0.992,0.015,
2018-10-29T13:53:20.9Z,0.987,0.03,
2018-10-29T13:53:21.0Z,0.994,0.025,
2018-10-29T13:53:21.1Z,0.99,0.022,
2018-10-29T13:53:21.2Z,0.985,0.024,
2018-10-29T13:53:21.3Z,0.986,0.011,
2018-10-29T13:53:21.4Z,0.985,0.014,
2018-10-29T13:53:21.5Z,0.963,0.045,This point is low due to an error
2018-10-29T13:53:21.6Z,0.969,0.047,
2018-10-29T13:53:21.7Z,0.974,0.032,
2018-10-29T13:53:21.8Z,0.975,0.014,
2018-10-29T13:53:21.9Z,0.99,0.082,
2018-10-29T13:53:22.0Z,0.976,0.019,
2018-10-29T13:53:22.1Z,0.985,0.012,
2018-10-29T13:53:22.2Z,0.976,0.017,
2018-10-29T13:53:22.3Z,0.974,0.025,
2018-10-29T13:53:22.4Z,0.982,0.007,
2018-10-29T13:53:22.5Z,0.986,0.025,
2018-10-29T13:53:22.6Z,0.978,0.018,
2018-10-29T13:53:22.7Z,0.976,0.014,
2018-10-29T13:53:22.8Z,0.974,0.027,
2018-10-29T13:53:22.9Z,0.979,0.014,
2018-10-29T13:53:23.0Z,0.978,0.019,
2018-10-29T13:53:23.1Z,0.976,0.021,
2018-10-29T13:53:23.2Z,0.978,0.016,
2018-10-29T13:53:23.3Z,0.974,0.028,
2018-10-29T13:53:23.4Z,0.976,0.019,
2018-10-29T13:53:23.5Z,0.974,0.023,
2018-10-29T13:53:23.6Z,0.977,0.025,
2018-10-29T13:53:23.7Z,0.98,0.012,
2018-10-29T13:53:23.8Z,0.975,0.012,
2018-10-29T13:53:23.9Z,0.977,0.013,
2018-10-29T13:53:24.0Z,0.986,0.022,
2018-10-29T13:53:24.1Z,0.974,0.021,
